"","id","jobcat3"
"1",1,"3"
"2",3,"1"
"3",4,"3"
"4",5,"3"
"5",7,"3"
"6",9,"1"
"7",10,"1"
"8",11,"3"
"9",12,"3"
"10",15,"1"
"11",16,"2"
"12",17,"1"
"13",21,"1"
"14",23,"1"
"15",26,"1"
"16",27,"1"
"17",28,"1"
"18",29,"3"
"19",30,"1"
"20",31,"1"
"21",32,"2"
"22",35,"3"
"23",37,"1"
"24",39,"2"
"25",40,"1"
"26",41,"1"
"27",42,"3"
"28",43,"3"
"29",44,"1"
"30",45,"1"
"31",46,"1"
"32",49,"3"
"33",51,"2"
"34",52,"1"
"35",53,"2"
"36",55,"3"
"37",56,"3"
"38",57,"3"
"39",58,"3"
"40",61,"2"
"41",63,"1"
"42",65,"3"
"43",66,"3"
"44",68,"2"
"45",70,"2"
"46",72,"3"
"47",73,"1"
"48",75,"3"
"49",76,"1"
"50",78,"2"
"51",79,"1"
"52",80,"2"
"53",81,"1"
"54",82,"3"
"55",83,"1"
"56",84,"3"
"57",86,"3"
"58",87,"2"
"59",89,"3"
"60",90,"3"
"61",91,"1"
"62",93,"3"
"63",94,"3"
"64",95,"3"
"65",96,"2"
"66",97,"1"
"67",98,"2"
"68",100,"1"
"69",101,"2"
"70",103,"3"
"71",104,"2"
"72",106,"1"
"73",107,"2"
"74",108,"1"
"75",109,"2"
"76",110,"3"
"77",111,"1"
"78",113,"2"
"79",115,"1"
"80",118,"3"
"81",119,"3"
"82",127,"1"
"83",129,"3"
"84",130,"2"
"85",132,"2"
"86",133,"1"
"87",135,"2"
"88",136,"3"
"89",138,"2"
"90",139,"2"
"91",140,"1"
"92",141,"3"
"93",142,"1"
"94",143,"3"
"95",145,"1"
"96",146,"1"
"97",147,"1"
"98",150,"1"
"99",151,"3"
"100",152,"3"
"101",153,"2"
"102",156,"3"
"103",158,"2"
"104",160,"1"
"105",161,"2"
"106",162,"2"
"107",163,"2"
"108",165,"3"
"109",167,"3"
"110",168,"3"
"111",169,"3"
"112",172,"1"
"113",174,"1"
"114",177,"3"
"115",179,"1"
"116",181,"1"
"117",182,"1"
"118",183,"2"
"119",184,"1"
"120",185,"3"
"121",188,"1"
"122",189,"3"
"123",191,"2"
"124",192,"2"
"125",193,"1"
"126",195,"3"
"127",197,"1"
"128",198,"1"
"129",199,"1"
"130",200,"1"
"131",201,"1"
"132",204,"3"
"133",205,"3"
"134",206,"3"
"135",210,"3"
"136",211,"1"
"137",212,"3"
"138",213,"1"
"139",214,"3"
"140",217,"3"
"141",218,"1"
"142",219,"1"
"143",222,"2"
"144",224,"1"
"145",225,"3"
"146",226,"3"
"147",227,"1"
"148",230,"1"
"149",231,"1"
"150",232,"1"
"151",233,"2"
"152",234,"1"
"153",235,"3"
"154",239,"1"
"155",240,"1"
"156",241,"3"
"157",242,"3"
"158",243,"3"
"159",244,"1"
"160",245,"1"
"161",246,"1"
"162",247,"3"
"163",248,"3"
"164",249,"3"
"165",251,"3"
"166",253,"1"
"167",255,"3"
"168",256,"2"
"169",257,"3"
"170",258,"2"
"171",260,"1"
"172",261,"1"
"173",265,"2"
"174",266,"1"
"175",268,"3"
"176",269,"3"
"177",270,"3"
"178",271,"1"
"179",272,"2"
"180",273,"1"
"181",274,"1"
"182",277,"1"
"183",278,"1"
"184",280,"2"
"185",282,"3"
"186",283,"1"
"187",286,"1"
"188",287,"1"
"189",288,"3"
"190",289,"3"
"191",290,"3"
"192",291,"1"
"193",292,"3"
"194",293,"3"
"195",294,"1"
"196",296,"1"
"197",297,"3"
"198",298,"3"
"199",299,"3"
"200",300,"1"
"201",303,"1"
"202",304,"3"
"203",306,"1"
"204",307,"3"
"205",310,"2"
"206",311,"3"
"207",312,"1"
"208",317,"3"
"209",320,"3"
"210",323,"3"
"211",324,"3"
"212",325,"3"
"213",329,"3"
"214",330,"1"
"215",332,"1"
"216",333,"1"
"217",334,"1"
"218",335,"1"
"219",338,"1"
"220",339,"2"
"221",340,"1"
"222",342,"2"
"223",343,"3"
"224",344,"2"
"225",346,"3"
"226",347,"1"
"227",349,"1"
"228",350,"3"
"229",351,"2"
"230",352,"3"
"231",354,"3"
"232",356,"3"
"233",358,"2"
"234",364,"2"
"235",365,"3"
"236",367,"3"
"237",368,"3"
"238",372,"3"
"239",373,"3"
"240",374,"1"
"241",376,"1"
"242",377,"1"
"243",381,"1"
"244",382,"1"
"245",383,"2"
"246",384,"1"
"247",385,"2"
"248",386,"3"
"249",387,"3"
"250",388,"1"
"251",391,"1"
"252",392,"3"
"253",393,"3"
"254",399,"2"
"255",403,"1"
"256",405,"3"
"257",406,"1"
"258",407,"2"
"259",408,"3"
"260",409,"1"
"261",410,"1"
"262",413,"2"
"263",414,"3"
"264",415,"2"
"265",419,"2"
"266",422,"3"
"267",425,"1"
"268",429,"2"
"269",430,"2"
"270",431,"2"
"271",434,"1"
"272",435,"3"
"273",436,"2"
"274",437,"3"
"275",439,"3"
"276",441,"3"
"277",444,"3"
"278",445,"1"
"279",446,"1"
"280",447,"1"
"281",448,"3"
"282",450,"3"
"283",455,"3"
"284",456,"2"
"285",457,"3"
"286",458,"1"
"287",459,"1"
"288",460,"3"
"289",461,"1"
"290",462,"1"
"291",465,"2"
"292",466,"1"
"293",467,"3"
"294",468,"1"
"295",469,"1"
"296",472,"3"
"297",473,"1"
"298",474,"2"
"299",475,"3"
"300",476,"3"
"301",478,"3"
"302",479,"1"
